current_time,weather,temp,humidity
2025-08-11 06:45:56,Clouds,28.76,74
2025-08-11 07:02:18,Clouds,28.76,74
2025-08-11 07:33:36,Clouds,29.76,66
2025-08-11 07:50:02,Clouds,29.76,66
2025-08-11 08:14:00,Clouds,28.83,68
2025-08-11 08:47:02,Clouds,29.76,66
2025-08-11 09:13:26,Clouds,27.76,74
2025-08-11 09:42:51,Clouds,27.76,74
2025-08-11 09:56:25,Clouds,27.76,74
2025-08-11 10:27:23,Clouds,27.76,78
2025-08-11 10:49:54,Clouds,27.76,78
2025-08-11 11:00:08,Clouds,27.76,78
2025-08-11 11:26:28,Clouds,26.76,83
2025-08-11 11:42:01,Clouds,26.76,83
2025-08-11 11:52:28,Clouds,26.76,83
2025-08-11 12:29:52,Clear,24.76,88
2025-08-11 13:21:40,Clear,23.71,86
2025-08-11 13:53:59,Clear,24.76,88
2025-08-11 14:19:27,Clear,23.41,88
2025-08-11 14:44:21,Clear,24.76,88
2025-08-11 14:58:03,Clear,24.76,88
2025-08-11 15:30:33,Clear,23.76,100
2025-08-11 15:48:16,Clear,23.76,100
2025-08-11 15:59:40,Clear,23.76,100
2025-08-11 16:37:40,Clouds,22.76,100
2025-08-11 16:57:51,Clouds,22.76,100
2025-08-11 17:26:52,Clear,22.76,100
2025-08-11 17:46:42,Mist,22.76,100
2025-08-11 17:57:14,Mist,22.76,100
2025-08-11 18:38:46,Mist,22.76,100
2025-08-11 18:59:01,Mist,22.76,100
2025-08-11 19:24:24,Clear,20.76,100
2025-08-11 19:38:49,Mist,20.76,100
2025-08-11 19:49:25,Mist,20.76,100
2025-08-11 19:59:58,Mist,20.76,100
2025-08-11 20:29:13,Clear,20.76,100
2025-08-11 20:45:04,Mist,20.76,100
2025-08-11 20:55:19,Mist,20.76,100
2025-08-11 21:18:30,Clear,22.22,94
2025-08-11 21:33:40,Mist,20.76,100
2025-08-11 21:45:06,Mist,20.76,100
2025-08-11 21:55:42,Mist,20.76,100
2025-08-11 22:20:28,Clear,22.9,96
2025-08-11 22:40:17,Mist,23.76,100
2025-08-11 22:51:33,Mist,23.76,100
2025-08-11 23:11:04,Mist,26.76,78
2025-08-11 23:30:47,Clear,26.76,78
2025-08-11 23:44:25,Mist,26.76,78
2025-08-11 23:54:41,Mist,26.76,78
2025-08-12 01:27:36,Clear,29.76,54
